adm2_code,adm2_name,drought,flood,earthquake,landslide,wildfire,stormsCyclone,coastalHazards,heatwave,lightning,environmentalDegradation,volcano,zoonoses,h_conflictIntensity,h_conflictRisk,h_hazardousMaterial,h_internalViolence,h_vehicleAccidents
TZ1402,Igunga,6.5,6.6,10,0,7.15,0,0,,,2.45,0,,0,0.7,,4.9,
TZ1403,Uyui,0.7,6.2,3.4,0,7.15,0,0,,,4.2,0,,0,0.7,,4.9,
TZ1404,Urambo,0.7,2.8,0,0,7.15,0,0,,,3.9,0,,0,0.7,,4.9,
TZ1405,Sikonge,0.7,4.3,0.1,0,7.15,0,0,,,3.25,0,,0,0.7,,4.9,
TZ1406,Tabora Urban,0.7,3.1,0,0,7.15,0,0,,,3.1,0,,0,0.7,,4.9,
TZ1407,Kaliua,0.7,5.7,0,0,7.15,0,0,,,4.35,0,,0,0.7,,4.9,
TZ1501,Kalambo,0.7,3.8,10,6.3,5.5,0,0,,,5.85,0,,0,0.7,,1.7,
TZ1502,Sumbawanga,0.7,7.2,10,4.3,5.5,0,0,,,5.3,0,,0,0.7,,1.7,
TZ1503,Nkasi,0.7,6.1,10,6.2,5.5,0,0,,,5.15,0,,0,0.7,,1.7,
TZ1504,Sumbawanga Urban,0.7,0,10,3.9,5.5,0,0,,,5,0,,0,0.7,,1.7,
TZ1601,Kibondo,0,7.5,6,0,6.25,0,0,,,3.1,0,,0,0.7,,9.65,
TZ1602,Kasulu,0,7.5,8.9,0,6.25,0,0,,,5,0,,0,0.7,,9.65,
TZ1603,Kigoma,0,7.5,10,7.7,6.25,0,0,,,3.8,0,,0,0.7,,9.65,
TZ1604,Kigoma  Urban,0,7.5,10,4.7,6.25,0,0,,,3.4,0,,0,0.7,,9.65,
TZ1605,Uvinza,0,8.1,9.7,6.8,6.25,0,0,,,4.8,0,,0,0.7,,9.65,
TZ1606,Buhigwe,0,7.5,10,6,6.25,0,0,,,2.75,0,,0,0.7,,9.65,
TZ1607,Kakonko,0,7.5,6,0,6.25,0,0,,,4.2,0,,0,0.7,,9.65,
TZ1608,Kasulu Township Authority,0,7.5,10,1.5,6.25,0,0,,,3.35,0,,0,0.7,,9.65,
TZ1701,Shinyanga Urban,7,7.4,10,0,4.55,0,0,,,0.55,0,,0,0.7,,4.9,
TZ1702,Kishapu,7,7.4,9.9,0,4.55,0,0,,,0.9,0,,0,0.7,,4.9,
TZ1703,Shinyanga,7,5.1,5.9,0,4.55,0,0,,,1.35,0,,0,0.7,,4.9,
TZ1704,Kahama,7,4,0.5,0,4.55,0,0,,,3.6,0,,0,0.7,,4.9,
TZ1705,Kahama Township Authority,7,1.2,0,0,4.55,0,0,,,2.55,0,,0,0.7,,4.9,
TZ1801,Karagwe,0,4.7,0,0,3.75,0,0,,,6.35,0,,0,0.7,,5.2,
TZ1802,Bukoba,0,8.1,7,4.9,3.75,0,0,,,6.85,0,,0,0.7,,5.2,
TZ1803,Muleba,0,8,7,7,3.75,0,0,,,6.95,0,,0,0.7,,5.2,
TZ1804,Biharamulo,0,3.1,0,0,3.75,0,0,,,6.95,0,,0,0.7,,5.2,
TZ1805,Ngara,0,5.3,0,2.1,3.75,0,0,,,6.1,0,,0,0.7,,5.2,
TZ1806,Bukoba Urban,0,8.1,7,2.5,3.75,0,0,,,6.2,0,,0,0.7,,5.2,
TZ1807,Missenyi,0,7.1,7,1.9,3.75,0,0,,,6.55,0,,0,0.7,,5.2,
TZ1808,Kyerwa,0,6.1,0,1.6,3.75,0,0,,,6.35,0,,0,0.7,,5.2,
TZ1901,Ukerewe,0,8.5,0,10,2.95,0,0,,,5.05,0,,0,0.7,,7.35,
TZ1902,Magu,0,6.4,0,2.5,2.95,0,0,,,3.15,0,,0,0.7,,7.35,
TZ1903,Nyamagana,0,3.4,0,2.4,2.95,0,0,,,1.9,0,,0,0.7,,7.35,
TZ1904,Kwimba,0,3.1,0.4,0,2.95,0,0,,,2.9,0,,0,0.7,,7.35,
TZ1905,Sengerema,0,7.9,0,7,2.95,0,0,,,5,0,,0,0.7,,7.35,
TZ1906,Ilemela,0,7,0,3.9,2.95,0,0,,,3.9,0,,0,0.7,,7.35,
TZ1907,Misungwi,0,4.6,0,1.6,2.95,0,0,,,3.55,0,,0,0.7,,7.35,
TZ2001,Tarime,1.4,1.9,6.2,3.4,5.55,0,0,,,4.55,0,,0,0.7,,6.65,
TZ2002,Serengeti,1.4,3.8,0,2.1,5.55,0,0,,,3.6,0,,0,0.7,,6.65,
TZ2003,Musoma,1.4,6.9,0,3.5,5.55,0,0,,,3.5,0,,0,0.7,,6.65,
TZ2004,Bunda,1.4,7.1,0,4.1,5.55,0,0,,,3.65,0,,0,0.7,,6.65,
TZ2005,Musoma Urban,1.4,9.3,6,1.5,5.55,0,0,,,4.5,0,,0,0.7,,6.65,
TZ2006,Rorya,1.4,5.9,9.9,4.1,5.55,0,0,,,3.6,0,,0,0.7,,6.65,
TZ2007,Butiam,1.4,4.9,0.5,3.5,5.55,0,0,,,4.1,0,,0,0.7,,6.65,
TZ2101,Babati,6.4,5.6,10,8,4.5,0,0,,,2.4,0,,0,0.7,,5.9,
TZ2102,Hanang,6.4,5.6,10,8.5,4.5,0,0,,,2.9,0,,0,0.7,,5.9,
TZ2103,Mbulu,6.4,1.9,10,8,4.5,0,0,,,2.4,0,,0,0.7,,5.9,
TZ2104,Simanjiro,7,8.5,9.8,3.1,4.5,0,0,,,1.4,0,,0,0.7,,5.9,
TZ2105,Kiteto,7,3.6,8.3,3.9,4.5,0,0,,,4.55,0,,0,0.7,,5.9,
TZ2106,Babati Urban,6.4,3.4,10,6,4.5,0,0,,,2.95,0,,0,0.7,,5.9,
TZ2201,Njombe Urban,0.7,1.9,1.9,6.2,5.15,0,0,,,9.5,0,,0,0.7,,5.05,
TZ2202,Wanging'ombe,0.7,3.6,0.6,3.3,5.15,0,0,,,8.5,0,,0,0.7,,5.05,
TZ2203,Makete,0.7,2.8,9.5,7.8,5.15,0,0,,,8.85,0,,0,0.7,,5.05,
TZ2204,Njombe,0.7,0,0,7.1,5.15,0,0,,,9.35,0,,0,0.7,,5.05,
TZ2205,Ludewa,0.7,4.2,8.9,7.5,5.15,0,0,,,8.5,0,,0,0.7,,5.05,
TZ2206,Makambako Township Authority,0.7,0,0,0,5.15,0,0,,,8.6,0,,0,0.7,,5.05,
TZ2301,Mpanda Urban,0,5.4,10,0,9.4,0,0,,,3.85,0,,0,0.7,,4.9,
TZ2302,Mpanda,0,5.4,10,5.1,9.4,0,0,,,3.45,0,,0,0.7,,4.9,
TZ2303,Mlele,0,7.5,8.8,3.7,9.4,0,0,,,2.85,0,,0,0.7,,4.9,
TZ2401,Bariadi,7,4.9,0,0,7.55,0,0,,,1.75,0,,0,0.7,,0,
TZ2402,Itilima,7,1.9,3.9,0.3,7.55,0,0,,,1.1,0,,0,0.7,,0,
TZ2403,Meatu,7,7.5,10,0,7.55,0,0,,,1.45,0,,0,0.7,,0,
TZ2404,Maswa,7,3.4,8.8,0,7.55,0,0,,,1.35,0,,0,0.7,,0,
TZ2405,Busega,7,7.1,0,0.2,7.55,0,0,,,3.05,0,,0,0.7,,0,
TZ2501,Geita,2.1,6.1,0,2.8,5.1,0,0,,,4.05,0,,0,0.7,,7.75,
TZ2502,Nyang'hwale,2.1,4.9,0,0,5.1,0,0,,,3.15,0,,0,0.7,,7.75,
TZ2503,Mbogwe,2.1,2.8,0,0,5.1,0,0,,,4.45,0,,0,0.7,,7.75,
TZ2504,Bukombe,2.1,3.8,0,0,5.1,0,0,,,3.35,0,,0,0.7,,7.75,
TZ2505,Chato,2.1,7.2,0,2.1,5.1,0,0,,,4.2,0,,0,0.7,,7.75,
TZ2601,Songwe,0,7.7,9.8,4.3,6.5,0,0,,,4.1,0,,0,0.7,,5.5,
TZ2605,Ileje,0,1.9,10,8.1,6.5,0,0,,,4.55,0,,0,0.7,,5.5,
TZ2606,Mbozi,0,0,10,4.3,6.5,0,0,,,3.45,0,,0,0.7,,5.5,
TZ2609,Momba,0,7.4,10,2.2,6.5,0,0,,,4.6,0,,0,0.7,,5.5,
TZ2610,Tunduma,0,0,10,6.8,6.5,0,0,,,4.5,0,,0,0.7,,5.5,
TZ5101,Kaskazini A,2.9,0,0,0,0.1,0,6.5,,,6,0,,0,0.7,,5.2,
TZ5102,Kaskazini B,2.9,5.9,0,0,0.1,0,6.5,,,5.6,0,,0,0.7,,5.2,
TZ5201,Kati,1.4,4,0,3.7,0,0,6.5,,,5.9,0,,0,0.7,,6.15,
TZ5202,Kusini,1.4,5.5,0,2.2,0,0,6.5,,,6.35,0,,0,0.7,,6.15,
TZ5301,Magharibi,0,3.4,0,3.4,0,0,6.5,,,5.5,0,,0,0.7,,1.7,
TZ5302,Mjini,0,5.9,0,3.7,0,0,6.5,,,5.45,0,,0,0.7,,1.7,
TZ5401,Wete,5,7.5,0,3.9,0,0,6.5,,,5.4,0,,0,0.7,,6.8,
TZ5402,Micheweni,5,5,0,2.2,0,0,6.5,,,5.05,0,,0,0.7,,6.8,
TZ5501,Chake Chake,2.9,6.4,0,3.2,0,0,6.5,,,4.75,0,,0,0.7,,0,
TZ5502,Mkoani,2.9,7.1,0,2.2,0,0,6.5,,,4.75,0,,0,0.7,,0,
