dist_name,reg_name,mean_annual_rain,rain_cv,rainy_season,season_cv,season_fail_freq,spei_severity,drought_index
Kasulu,Kigoma,1317.418,0.14,D-J-F-M,0.13,0.088,1.444,1.59
Mbarali,Mbeya,889.89,0.146,D-J-F-M,0.146,0.088,1.576,3.86
Kibondo,Kigoma,1211.368,0.144,J-F-M-A,0.151,0.088,1.523,2.66
Rungwe,Mbeya,2203.635,0.136,J-F-M-A,0.181,0.147,1.504,0.47
Kyela,Mbeya,1996.293,0.162,F-M-A-M,0.231,0.206,1.481,2.22
Mbeya,Mbeya,1462.451,0.124,D-J-F-M,0.129,0.059,1.573,1.53
Kakonko,Kigoma,1146.939,0.136,J-F-M-A,0.158,0.059,1.44,1.94
Chunya,Mbeya,1124.81,0.13,D-J-F-M,0.136,0.059,1.473,1.93
Buhigwe,Kigoma,1502.259,0.119,J-F-M-A,0.148,0.059,1.444,0.62
Uvinza,Kigoma,1222.27,0.113,D-J-F-M,0.1,0.029,1.47,0.82
Kusini,Kusini Unguja,1950.889,0.23,M-A-M-J,0.298,0.265,1.433,4.26
Kati,Kusini Unguja,1935.968,0.238,M-A-M-J,0.29,0.235,1.467,4.37
Kibaha,Pwani,1181.631,0.238,F-M-A-M,0.289,0.235,1.472,6.41
Ngorongoro,Arusha,803.809,0.237,J-F-M-A,0.322,0.235,1.586,8.43
Kisarawe,Pwani,1240.392,0.225,F-M-A-M,0.273,0.324,1.453,6.48
Arusha,Arusha,828.885,0.234,F-M-A-M,0.272,0.265,1.491,7.5
Longido,Arusha,668.272,0.258,J-F-M-A,0.353,0.265,1.598,9.72
Bagamoyo,Pwani,1079.117,0.215,F-M-A-M,0.256,0.147,1.516,5.56
Karatu,Arusha,699.044,0.274,J-F-M-A,0.292,0.176,1.595,8.72
Mafia,Pwani,2470.532,0.187,F-M-A-M,0.265,0.206,1.461,1.54
Mlele,Katavi,1112.536,0.156,D-J-F-M,0.158,0.059,1.425,2.3
Monduli,Arusha,693.529,0.257,J-F-M-A,0.326,0.265,1.56,9.17
Kibiti,Pwani,1307.375,0.237,F-M-A-M,0.28,0.265,1.575,6.91
Tanganyika,Katavi,1225.664,0.132,D-J-F-M,0.119,0.0,1.482,1.14
Arumeru,Arusha,953.658,0.222,F-M-A-M,0.243,0.235,1.541,6.81
Mkuranga,Pwani,1310.44,0.238,F-M-A-M,0.282,0.265,1.534,6.67
Mpanda,Katavi,1101.072,0.157,D-J-F-M,0.159,0.029,1.38,1.81
Rufiji,Pwani,1087.904,0.207,J-F-M-A,0.26,0.206,1.499,5.8
Nachingwea,Lindi,1040.634,0.166,D-J-F-M,0.16,0.088,1.511,3.5
Liwale,Lindi,1186.057,0.172,J-F-M-A,0.206,0.176,1.41,3.63
Ruangwa,Lindi,1163.438,0.174,J-F-M-A,0.197,0.176,1.459,3.98
Kilwa,Lindi,1273.23,0.19,J-F-M-A,0.239,0.176,1.557,4.99
Lindi,Lindi,1184.601,0.181,J-F-M-A,0.199,0.147,1.597,4.76
Kalambo,Rukwa,1144.507,0.124,D-J-F-M,0.126,0.088,1.619,2.91
Sumbawanga,Rukwa,1077.051,0.136,D-J-F-M,0.144,0.088,1.545,2.96
Iringa,Iringa,702.928,0.192,D-J-F-M,0.187,0.176,1.584,6.29
Nkasi,Rukwa,1057.692,0.125,D-J-F-M,0.122,0.059,1.469,1.89
Mufindi,Iringa,1428.087,0.168,J-F-M-A,0.183,0.206,1.577,4.09
Kilolo,Iringa,1367.754,0.178,J-F-M-A,0.195,0.176,1.507,3.81
